Nr of publication,Cation 1,,Cation 2,,Cation 3,,Cation 4,,Anion 1,,Anion 2,,Pro- motor,Support 1,,Support 2,,,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"P total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2),%",Basicity,Acidity,Electro-negativity,Anion conductivity,p/n conductivity
,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,,value,mol%,value,mol%,,,,,,,,,,,,,,,,,,,,
,Sr,100.0,,,,,,,,,,,,,,,,,n.a.,1123,0.30,0.05,6.0,1.0,0.10,36.0,8.0,,22.1,46.5,63.8,5.1,,,,,
,Sc,100.0,,,,,,,,,,,,,,,,,n.a.,1173,0.30,0.05,6.0,1.0,0.10,100.0,17.6,,30.7,16.5,64.8,11.4,,,,,
,Y,100.0,,,,,,,,,,,,,,,,,n.a.,1073,0.30,0.05,6.0,1.0,0.10,100.0,18.0,,26.8,27.4,65.8,11.8,,,,,
,La,100.0,,,,,,,,,,,,,,,,,n.a.,1023,0.30,0.05,6.0,1.0,0.10,100.0,19.6,,25.7,30.9,66.8,13.1,,,,,
,Pr,100.0,,,,,,,,,,,,,,,,,n.a.,1123,0.30,0.05,6.0,1.0,0.10,100.0,11.3,,8.7,16.6,67.8,7.7,,,,,
,Nd,100.0,,,,,,,,,,,,,,,,,n.a.,1023,0.30,0.05,6.0,1.0,0.10,100.0,17.9,,22.5,31.5,68.8,12.3,,,,,
,Sm,100.0,,,,,,,,,,,,,,,,,n.a.,1023,0.30,0.05,6.0,1.0,0.10,100.0,17.9,,23.5,29.5,69.8,12.5,,,,,
,Eu,100.0,,,,,,,,,,,,,,,,,n.a.,973,0.30,0.05,6.0,1.0,0.10,100.0,18.2,,24.4,28.2,70.8,12.9,,,,,
,Gd,100.0,,,,,,,,,,,,,,,,,n.a.,1073,0.30,0.05,6.0,1.0,0.10,100.0,19.2,,31.1,27.2,71.8,13.8,,,,,
,La,100.0,,,,,,,,,,,,,,,,,n.a.,1023,0.30,0.05,6.0,1.0,0.10,100.0,19.6,,25.7,30.9,72.8,14.3,,,,,
