Nr of publication,Cation 1,,Cation 2,,Cation 3,,Cation 4,,Anion 1,,Anion 2,,Pro- motor,Support 1,,Support 2,,,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"P total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2),%",Basicity,Acidity,Electro-negativity,Anion conductivity,p/n conductivity
,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,,value,mol%,value,mol%,,,,,,,,,,,,,,,,,,,,
,K,7.4,Ca,88.9,,,,,C,3.7,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.14,91.0,14.0,,,,71.0,9.9,,,,,
,K,14.2,Ca,78.7,,,,,C,7.1,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.38,96.0,13.0,,,,70.0,9.1,,,,,
,Li,2.8,Ca,97.2,,,,,,,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.37,92.0,14.0,,,,75.0,10.5,,,,,
,Li,6.0,Ca,94.0,,,,,,,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.38,97.0,14.0,,,,72.0,10.1,,,,,
,Li,12.0,Ca,88.0,,,,,,,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.36,99.0,14.0,,,,72.0,10.1,,,,,
,Na,2.6,Ca,97.4,,,,,,,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.36,97.0,17.0,,,,78.0,13.3,,,,,
,Na,6.0,Ca,94.0,,,,,,,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.36,95.0,16.0,,,,76.0,12.2,,,,,
,Na,17.4,Ca,82.6,,,,,,,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.72,96.0,14.0,,,,76.0,10.6,,,,,
,K,2.2,Ca,97.8,,,,,,,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.25,93.0,15.0,,,,73.0,11.0,,,,,
,K,5.8,Ca,94.2,,,,,,,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.25,83.0,14.0,,,,72.0,10.1,,,,,
,K,12.0,Ca,88.0,,,,,,,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.43,94.0,14.0,,,,69.0,9.7,,,,,
,Li,2.8,Ca,95.8,,,,,S,1.4,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.91,100.0,16.0,,,,76.0,12.2,,,,,
,Li,6.8,Ca,89.8,,,,,S,3.4,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,1.40,99.0,16.0,,,,76.0,12.2,,,,,
,Li,13.0,Ca,80.5,,,,,S,6.5,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.95,93.0,14.0,,,,74.0,10.4,,,,,
,Na,2.8,Ca,95.8,,,,,S,1.4,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.24,95.0,14.0,,,,73.0,10.2,,,,,
,Na,7.0,Ca,89.5,,,,,S,3.5,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.19,92.0,16.0,,,,78.0,12.5,,,,,
,Na,10.4,Ca,84.4,,,,,S,5.2,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.20,82.0,15.0,,,,78.0,11.7,,,,,
,K,2.4,Ca,96.4,,,,,S,1.2,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.22,85.0,15.0,,,,76.0,11.4,,,,,
,K,6.8,Ca,89.8,,,,,S,3.4,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.18,80.0,14.0,,,,76.0,10.6,,,,,
,K,10.4,Ca,84.4,,,,,S,5.2,,,,,,,,,Impregnation,1013,0.52,0.06,9.0,1.0,0.23,92.0,15.0,,,,75.0,11.3,,,,,
,Ca,100.0,,,,,,,,,,,,,,,,7.5,Impregnation,1040,0.64,0.08,8.2,1.0,0.17,94.0,11.0,45.0,,,55.0,6.1,,,,,
,Pb,7.5,Mg,92.5,,,,,,,,,,,,,,93.9,Impregnation,1057,0.64,0.08,8.2,1.0,0.54,98.0,13.0,31.0,,,69.0,9.0,,,,,
,Pb,1.4,Ca,49.3,,,,,S,49.3,,,,,,,,,Impregnation,1057,0.64,0.08,8.2,1.0,7.30,99.0,12.0,40.0,,,60.0,7.2,,,,,
,Pb,.1,Si,33.3,Ca,66.60,,,,,,,,,,,,101.8,Impregnation,1054,0.64,0.08,8.2,1.0,0.20,94.0,9.0,54.0,,,46.0,4.1,,,,,
,Pb,1.9,K,65.4,,,,,C,32.7,,,,,,,,103.7,Impregnation,1013,0.64,0.08,8.2,1.0,5.90,95.0,10.0,42.0,,,58.0,5.8,,,,,
,Na,5.6,Ca,94.4,,,,,,,,,,,,,,98.9,Impregnation,1013,0.35,0.14,2.4,1.0,0.30,84.0,30.0,,,,56.0,16.8,,,,,
,Li,4.5,Ca,95.5,,,,,,,,,,,,,,96.8,Impregnation,1013,0.52,0.06,9.0,1.0,0.36,91.0,16.0,,,,77.0,12.3,,,,,
,Na,1.3,Ca,98.7,,,,,,,,,,,,,,99.9,Impregnation,1013,0.52,0.06,9.0,1.0,0.14,80.0,16.0,,,,78.0,12.5,,,,,
,K,1.2,Ca,98.8,,,,,,,,,,,,,,101.2,Impregnation,1013,0.52,0.06,9.0,1.0,0.36,98.0,15.0,,,,72.0,10.8,,,,,
,Pb,2.4,Ca,97.6,,,,,,,,,,,,,,,Impregnation,1040,0.64,0.08,8.2,1.0,0.18,96.0,10.0,57.0,,,43.0,4.3,,,,,
,Pb,5.2,Ca,94.8,,,,,,,,,,,,,,,Impregnation,1040,0.64,0.08,8.2,1.0,0.18,91.0,9.0,64.0,,,36.0,3.2,,,,,
,Pb,7.4,Ca,92.6,,,,,,,,,,,,,,,Impregnation,1040,0.64,0.08,8.2,1.0,0.19,81.0,8.0,67.0,,,33.0,2.6,,,,,
,Mg,100.0,,,,,,,,,,,,,,,,2.2,Impregnation,1057,0.64,0.08,8.2,1.0,0.19,94.0,11.0,47.0,,,53.0,5.8,,,,,
,Pb,2.2,Mg,97.8,,,,,,,,,,,,,,101.6,Impregnation,1057,0.64,0.08,8.2,1.0,0.68,100.0,13.0,34.0,,,66.0,8.6,,,,,
,Pb,3.8,Mg,96.2,,,,,,,,,,,,,,146.2,Impregnation,1057,0.64,0.08,8.2,1.0,0.69,99.0,12.0,34.0,,,66.0,7.9,,,,,
,Ca,50.0,,,,,,,S,50.0,,,,,,,,,Impregnation,1057,0.64,0.08,8.2,1.0,4.90,53.0,6.0,47.0,,,53.0,3.2,,,,,
,Ca,66.7,Si,33.3,,,,,,,,,,,,,,,Impregnation,1057,0.64,0.08,8.2,1.0,0.20,100.0,11.0,57.0,,,43.0,4.7,,,,,
,K,66.7,,,,,,,C,33.3,,,,,,,,,Impregnation,1057,0.64,0.08,8.2,1.0,4.10,97.0,12.0,62.0,,,38.0,4.6,,,,,
,Pb,.7,K,66.2,,,,,C,33.1,,,,,,,,,Impregnation,1057,0.64,0.08,8.2,1.0,9.90,50.0,7.0,45.0,,,55.0,3.9,,,,,
,Si,100.0,,,,,,,,,,,,,,,,,Impregnation,1057,0.64,0.08,8.2,1.0,3.40,92.0,11.0,,,,40.0,4.4,,,,,
,Pb,1.7,,,,,,,,,,,,Si,98.3,,,,Impregnation,1057,0.64,0.08,8.2,1.0,8.70,72.0,4.0,,,,64.0,2.6,,,,,
,Pb,2.3,,,,,,,,,,,,Si,97.7,,,,Impregnation,1057,0.64,0.08,8.2,1.0,16.60,100.0,11.0,,,,64.0,7.0,,,,,
,Al,100.0,,,,,,,,,,,,,,,,,Impregnation,1057,0.64,0.08,8.2,1.0,0.30,99.0,7.0,,,,17.0,1.2,,,,,
,Mg,50.0,,,,,,,C,50.0,,,,,,,,,Therm.decomp.,1013,0.64,0.08,8.2,1.0,0.58,95.0,10.0,,,,22.0,2.2,,,,,
,Na,5.6,Ca,94.4,,,,,,,,,,,,,,,Impregnation,1013,0.66,0.08,8.3,1.0,0.20,75.0,13.0,,,,74.0,9.6,,,,,
,Mg,100.0,,,,,,,,,,,,,,,,,Therm.decomp.,1013,0.64,0.08,8.2,1.0,0.82,96.0,11.0,,,,41.0,4.5,,,,,
21,Pb,21.7,,,,,,,,,,,,Al,78.3,,,,n.a.,1013,0.66,0.07,9.4,1.0,0.22,95.1,10.1,,17.1,39.1,56.2,5.7,,,,,
,Pb,12.0,,,,,,,,,,,,Si,88.0,,,,n.a.,1003,0.66,0.07,9.4,1.0,1.56,2.0,0.3,,5.0,67.0,72.0,0.2,,,,,
,Pb,100.0,,,,,,,,,,,,,,,,,n.a.,1013,0.65,0.07,9.3,1.0,6.24,10.0,0.5,,8.7,54.1,62.8,0.3,,,,,
,Na,18.1,Pb,10.7,,,,,,,,,,Al,71.2,,,,n.a.,1023,0.70,0.07,10.0,1.0,0.05,77.4,8.2,,12.5,47.4,59.9,4.9,,,,,
,Li,7.6,Pb,12.0,,,,,,,,,,Al,80.4,,,,n.a.,1023,0.70,0.07,10.0,1.0,0.21,100.0,10.0,,21.3,35.6,56.9,5.7,,,,,
,K,37.0,Pb,8.3,,,,,,,,,,Al,54.7,,,,n.a.,1023,0.70,0.07,10.0,1.0,0.21,90.0,9.8,,16.3,41.9,58.2,5.7,,,,,
,Ca,8.0,Pb,12.4,,,,,,,,,,Al,79.6,,,,n.a.,1023,0.70,0.07,10.0,1.0,0.21,99.0,9.9,,16.6,40.4,57.0,5.6,,,,,
,Li,100.0,,,,,,,,,,,,,,,,,n.a.,1023,0.70,0.07,10.0,1.0,0.42,21.5,2.2,,4.2,40.9,45.1,1.0,,,,,
,Na,100.0,,,,,,,,,,,,,,,,,n.a.,1023,0.70,0.07,10.0,1.0,0.16,12.4,1.2,,6.0,44.0,50.0,0.6,,,,,
,Ca,100.0,,,,,,,,,,,,,,,,,n.a.,1023,0.70,0.07,10.0,1.0,0.39,96.8,8.2,,9.1,32.3,41.4,3.4,,,,,
,Mg,100.0,,,,,,,,,,,,,,,,,n.a.,1023,0.70,0.07,10.0,1.0,0.16,100.0,8.0,,4.6,16.1,20.7,1.7,,,,,
,Ba,100.0,,,,,,,,,,,,,,,,,n.a.,1023,0.70,0.07,10.0,1.0,0.16,2.7,0.2,,1.9,41.7,43.6,0.1,,,,,
,Li,19.1,Ca,80.9,,,,,,,,,,,,,,,n.a.,1023,0.67,0.07,9.6,1.0,0.41,100.0,9.4,,27.0,44.6,71.6,6.7,,,,,
,Na,5.3,Ca,94.7,,,,,,,,,,,,,,,n.a.,1023,0.67,0.07,9.6,1.0,0.16,100.0,10.8,,18.3,47.9,66.2,7.1,,,,,
,K,5.3,Ca,94.7,,,,,,,,,,,,,,,n.a.,1023,0.67,0.07,9.6,1.0,0.41,100.0,11.6,,27.9,37.7,65.6,7.6,,,,,
,Mg,1.4,Ca,98.6,,,,,,,,,,,,,,,n.a.,1023,0.67,0.07,9.6,1.0,0.42,100.0,9.0,,14.3,31.8,46.1,4.1,,,,,
,Sr,1.3,Ca,98.7,,,,,,,,,,,,,,,n.a.,1023,0.67,0.07,9.6,1.0,0.42,100.0,9.5,,16.4,36.7,53.1,5.0,,,,,
,Ba,1.4,Ca,98.6,,,,,,,,,,,,,,,n.a.,1023,0.67,0.07,9.6,1.0,0.08,100.0,12.7,,16.1,33.8,49.9,6.3,,,,,
,Pb,5.2,Ca,94.8,,,,,,,,,,,,,,,n.a.,1023,0.67,0.07,9.6,1.0,0.16,100.0,7.5,,4.7,31.8,36.5,2.7,,,,,
22,Pb,2.5,,,,,,,,,,,,Al,97.5,,,,Impregnation,1057,0.64,0.08,8.2,1.0,0.73,99.0,9.0,,,,14.0,1.3,,,,,
,Pb,9.3,,,,,,,,,,,,Al,90.7,,,,Impregnation,1057,0.64,0.08,8.2,1.0,0.29,91.0,10.0,,,,57.0,5.7,,,,,
,Li,15.2,Mg,84.8,,,,,,,,,,,,,,115.3,n.a.,893,0.48,0.11,4.5,1.0,25.70,,20.0,,,,51.6,10.3,,,,,
,Li,30.5,Mg,69.5,,,,,,,,,,,,,,79.1,n.a.,973,0.47,0.11,4.4,1.0,8.00,,22.0,,,,71.0,15.6,,,,,
23,Li,22.2,Ca,77.8,,,,,,,,,,,,,,85.1,n.a.,984,0.47,0.11,4.4,1.0,8.70,,18.0,30.0,38.0,27.0,65.0,11.7,,,,,
,Na,7.3,Ca,92.7,,,,,,,,,,,,,,101.2,n.a.,982,0.47,0.11,4.4,1.0,8.70,,16.0,25.0,35.0,35.0,70.0,11.2,,,,,
,Li,17.2,Mg,82.8,,,,,,,,,,,,,,84.0,n.a.,1043,0.38,0.13,3.0,1.0,5.50,,59.0,48.0,36.0,17.0,53.0,31.3,,,,,
,Sn,1.2,Li,17.6,Mg,81.20,,,,,,,,,,,,121.0,n.a.,977,0.47,0.11,4.4,1.0,7.50,,23.0,31.0,35.0,27.0,62.0,14.3,,,,,
,Li,22.2,Ca,77.8,,,,,,,,,,,,,,85.1,n.a.,984,0.47,0.11,4.4,1.0,8.70,,18.0,30.0,38.0,27.0,65.0,11.7,,,,,
,Na,7.3,Ca,92.7,,,,,,,,,,,,,,101.2,n.a.,982,0.47,0.11,4.4,1.0,8.70,,16.0,25.0,35.0,35.0,70.0,11.2,,,,,
,Na,8.5,Pb,8.5,Si,8.50,Zn,74.50,,,,,,,,,,191.5,n.a.,1023,0.90,0.10,9.0,1.0,2.40,71.0,8.0,,34.0,34.0,68.0,5.4,,,,,
,Na,8.0,K,4.0,Co,20.00,Zr,50.00,S,16.0,P,2.0,Cl,,,,,,Therm.decomp.,970,0.50,0.11,4.8,1.0,1.20,,19.2,,43.2,17.6,60.8,11.7,,,,,
,Zr,100.0,,,,,,,,,,,,,,,,,n.a.,973,0.47,0.11,4.2,1.0,1.20,,12.0,,0.0,2.5,2.5,0.3,,,,,
24,Na,8.5,Pb,8.5,Si,8.50,Zn,74.50,,,,,,,,,,191.5,n.a.,1023,0.90,0.10,9.0,1.0,2.40,71.0,8.0,,34.0,34.0,68.0,5.4,,,,,
,Cs,100.0,,,,,,,,,,,Cl,,,,,100.0,n.a.,1023,0.91,0.09,10.0,1.0,2.00,,5.0,,30.0,54.0,84.0,4.2,,,,,
,Li,100.0,,,,,,,,,,,Cl,,,,,33.3,n.a.,1023,0.91,0.09,10.0,1.0,2.00,,5.0,,44.0,46.0,90.0,4.5,,,,,
,Li,33.3,Ca,33.3,Pr,33.40,,,,,,,Cl,,,,,100.0,n.a.,1023,0.91,0.09,10.0,1.0,2.00,,14.0,,71.0,13.0,84.0,11.8,,,,,
,Li,33.3,Ca,33.3,Ce,33.40,,,,,,,Cl,,,,,166.7,n.a.,1023,0.91,0.09,10.0,1.0,2.00,,14.0,,70.0,14.0,84.0,11.8,,,,,
,Ca,100.0,,,,,,,,,,,Cl,,,,,100.0,n.a.,1023,0.67,0.07,10.0,1.0,2.00,,14.0,,71.0,11.0,82.0,11.5,,,,,
,Mg,100.0,,,,,,,,,,,Cl,,,,,100.0,n.a.,1023,0.67,0.07,10.0,1.0,2.00,,5.0,,38.0,49.0,87.0,4.4,,,,,
,Mn,100.0,,,,,,,,,,,Cl,,,,,100.0,n.a.,1023,0.67,0.07,10.0,1.0,2.00,,14.0,,71.0,13.0,84.0,11.8,,,,,
,Pb,100.0,,,,,,,,,,,Cl,,,,,100.0,n.a.,1023,0.67,0.07,10.0,1.0,2.00,,10.0,,48.0,18.0,66.0,6.6,,,,,
,Fe,100.0,,,,,,,,,,,Cl,,,,,17.2,n.a.,1023,0.67,0.07,10.0,1.0,2.00,,14.0,,55.0,20.0,75.0,10.5,,,,,
,Ca,33.3,,,,,,,Cl,66.7,,,,,,,,,Impregnation,1023,0.66,0.34,1.9,1.0,0.72,,19.9,,60.4,9.3,69.7,13.9,,,,,
,Mg,33.3,,,,,,,Cl,66.7,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,5.3,,38.2,49.1,87.3,4.6,,,,,
,Li,50.0,,,,,,,Cl,50.0,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,5.1,,44.0,45.8,89.8,4.6,,,,,
,Cs,50.0,,,,,,,Cl,50.0,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,4.5,,30.4,54.0,84.4,3.8,,,,,
,Mn,33.3,,,,,,,Cl,66.7,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,14.4,,71.5,12.5,84.0,12.1,,,,,
,Pb,33.3,,,,,,,Cl,66.7,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,10.5,,47.5,18.3,65.8,6.9,,,,,
,Cd,33.3,,,,,,,Cl,66.7,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,3.7,,15.8,36.0,51.8,1.9,,,,,
,Fe,33.3,,,,,,,Cl,66.7,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,13.9,,54.6,20.1,74.7,10.4,,,,,
,Ca,22.2,Mg,11.1,,,,,Cl,66.7,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,14.2,,50.9,24.3,75.2,10.7,,,,,
,Ca,14.3,Li,14.3,Mn,14.30,,,Cl,57.1,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,9.9,,52.3,32.1,84.4,8.4,,,,,
,Ca,14.3,Li,14.3,Pr,14.30,,,Cl,57.1,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,14.3,,71.2,13.3,84.5,12.1,,,,,
,Ba,33.3,,,,,,,Br,66.7,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,19.0,,38.1,5.8,43.9,8.3,,,,,
,Bi,50.0,,,,,,,Cl,50.0,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,10.7,,44.9,18.2,63.1,6.8,,,,,
,Ca,33.3,,,,,,,Br,66.7,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,13.3,,34.4,9.7,44.1,5.9,,,,,
,Ba,6.0,,,,,,,Br,12.0,,,,Si,82.0,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,8.9,,49.8,21.4,71.2,6.3,,,,,
,Ba,6.0,,,,,,,Br,12.0,,,,Ca,82.0,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,8.9,,36.4,17.0,53.4,4.8,,,,,
,Ba,6.0,,,,,,,Br,12.0,,,,Zn,82.0,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,11.8,,41.0,25.6,66.6,7.9,,,,,
,K,6.0,,,,,,,Br,6.0,,,,Ti,88.0,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,11.6,,46.2,20.7,66.9,7.8,,,,,
,La,25.0,,,,,,,Cl,75.0,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80,,7.6,,56.2,14.1,70.3,5.3,,,,,
25,Cs,100.0,,,,,,,,,,,Cl,,,,,100.0,n.a.,1023,0.91,0.09,10.0,1.0,2.00,,5.0,,30.0,54.0,84.0,4.2,,,,,
,Li,100.0,,,,,,,,,,,Cl,,,,,33.3,n.a.,1023,0.91,0.09,10.0,1.0,2.00,,5.0,,44.0,46.0,90.0,4.5,,,,,
,Li,33.3,Ca,33.3,Pr,33.40,,,,,,,Cl,,,,,100.0,n.a.,1023,0.91,0.09,10.0,1.0,2.00,,14.0,,71.0,13.0,84.0,11.8,,,,,
,Li,33.3,Ca,33.3,Ce,33.40,,,,,,,Cl,,,,,166.7,n.a.,1023,0.91,0.09,10.0,1.0,2.00,,14.0,,70.0,14.0,84.0,11.8,,,,,
,Ca,100.0,,,,,,,,,,,Cl,,,,,100.0,n.a.,1023,0.67,0.07,10.0,1.0,2.00,,14.0,,71.0,11.0,82.0,11.5,,,,,
,Mg,100.0,,,,,,,,,,,Cl,,,,,100.0,n.a.,1023,0.67,0.07,10.0,1.0,2.00,,5.0,,38.0,49.0,87.0,4.4,,,,,
,Mn,100.0,,,,,,,,,,,Cl,,,,,100.0,n.a.,1023,0.67,0.07,10.0,1.0,2.00,,14.0,,71.0,13.0,84.0,11.8,,,,,
,Pb,100.0,,,,,,,,,,,Cl,,,,,100.0,n.a.,1023,0.67,0.07,10.0,1.0,2.00,,10.0,,48.0,18.0,66.0,6.6,,,,,
,Fe,100.0,,,,,,,,,,,Cl,,,,,21.1,n.a.,1023,0.67,0.07,10.0,1.0,2.00,,14.0,,55.0,20.0,75.0,10.5,,,,,
26,Li,21.1,Ti,26.3,Mg,52.60,,,,,,,,,,,,103.9,n.a.,1024,0.50,0.10,5.0,1.0,7.90,,8.0,25.0,34.0,39.0,73.0,5.8,,,,,
,Li,25.0,Ti,25.0,Ca,50.00,,,,,,,,,,,,97.3,n.a.,980,0.50,0.10,5.0,1.0,7.90,,17.0,22.0,39.0,31.0,70.0,11.9,,,,,
,Ti,22.3,Li,33.3,Sr,44.40,,,,,,,,,,,,123.2,n.a.,979,0.50,0.10,5.0,1.0,7.80,,13.0,2.0,42.0,49.0,91.0,11.8,,,,,
,Li,45.5,La,54.5,,,,,,,,,,,,,,72.7,n.a.,977,0.47,0.11,4.2,1.0,8.00,,34.0,4.0,52.0,34.0,86.0,29.2,,,,,
,Na,18.2,La,81.8,,,,,,,,,,,,,,93.3,n.a.,976,0.50,0.11,4.7,1.0,7.20,,43.0,20.0,31.0,43.0,74.0,31.8,,,,,
,K,11.5,La,88.5,,,,,,,,,,,,,,107.7,n.a.,974,0.50,0.11,4.7,1.0,7.20,,41.0,26.0,28.0,41.0,69.0,28.3,,,,,
,Li,19.2,La,80.8,,,,,,,,,,,,,,82.7,n.a.,1073,0.30,0.05,6.0,1.0,0.19,100.0,22.0,24.0,33.0,38.0,71.0,15.6,,,,,
,Sr,1.9,La,98.1,,,,,,,,,,,,,,198.1,n.a.,1023,0.30,0.05,6.0,1.0,0.18,100.0,21.0,31.0,29.0,35.0,64.0,13.4,,,,,
,La,100.0,,,,,,,,,,,,,,,,0.3,n.a.,1023,0.30,0.05,6.0,1.0,0.18,100.0,20.0,51.0,26.0,31.0,57.0,11.4,,,,,
,Na,.3,Pb,49.8,,,,,,,,,,Si,49.9,,,100.2,n.a.,1113,0.87,0.03,30.9,1.0,2.12,100.0,6.0,13.0,33.0,47.0,80.0,4.8,,,,,
,Na,.5,Pb,6.2,,,,,,,,,,Si,93.3,,,149.5,n.a.,1113,0.83,0.04,23.8,1.0,2.12,100.0,6.0,13.0,33.0,47.0,80.0,4.8,,,,,
27,Li,7.0,Mg,93.0,,,,,,,,,,,,,,,Therm.decomp.,973,0.47,0.11,4.4,1.0,7.60,,23.7,,37.5,24.1,61.6,14.6,,,,,
,Li,3.0,Mg,97.0,,,,,,,,,,,,,,,Therm.decomp.,958,0.47,0.11,4.4,1.0,7.60,,20.4,,47.3,39.1,86.4,17.6,,,,,
,Sn,3.0,Li,3.0,Mg,94.00,,,,,,,,,,,,,Therm.decomp.,977,0.47,0.11,4.4,1.0,7.60,,23.0,,35.0,37.0,72.0,16.6,,,,,
,Mg,100.0,,,,,,,,,,,,,,,,,Therm.decomp.,978,0.47,0.11,4.4,1.0,7.60,,15.7,,6.8,8.9,15.7,2.5,,,,,
,Li,3.0,,,,,,,,,,,,Si,97.0,,,,Therm.decomp.,989,0.47,0.11,4.4,1.0,7.60,,2.0,,11.0,0.0,11.0,0.2,,,,,
,Li,3.0,,,,,,,,,,,,Al,97.0,,,,Therm.decomp.,973,0.47,0.11,4.4,1.0,7.60,,15.0,,0.0,3.0,3.0,0.5,,,,,
,Li,3.0,,,,,,,,,,,,Ca,48.5,Si,48.5,,Therm.decomp.,973,0.47,0.11,4.4,1.0,7.60,,3.0,,0.0,0.0,0.0,0.0,,,,,
,Pb,25.0,,,,,,,,,,,,Al,75.0,,,,Therm.decomp.,943,0.47,0.11,4.4,1.0,7.60,,16.7,,8.9,8.7,17.6,2.9,,,,,
,Pb,25.0,Li,.2,,,,,,,,,,Al,74.8,,,,Therm.decomp.,978,0.47,0.11,4.4,1.0,7.60,,16.7,,8.7,3.7,12.4,2.1,,,,,
28,Zr,25.0,Li,50.0,,,,,C,25.0,,,,,,,,,Therm.decomp.,1060,0.67,0.33,2.0,1.0,6.00,99.8,40.6,,30.4,11.3,41.7,16.9,,,,,
,Zr,25.0,Li,50.0,,,,,C,25.0,,,,,,,,,Therm.decomp.,1078,0.67,0.33,2.0,1.0,6.00,99.7,31.4,,33.4,12.5,45.9,14.4,,,,,
29,Ba,50.0,Ce,50.0,,,,,,,,,,,,,,150.0,Therm.decomp.,1023,0.73,0.28,2.6,1.0,0.00,,11.8,,,,38.0,4.5,,,,,
30,Sm,100.0,,,,,,,,,,,,,,,,8.3,n.a.,1023,0.87,0.14,6.1,1.0,0.00,,20.0,,,,61.0,12.2,,,,,
31,Ba,8.3,Ca,91.7,,,,,,,,,,,,,,94.5,Impregnation,1073,0.40,0.08,5.0,1.0,0.55,99.7,21.5,,30.0,27.0,57.1,12.3,,,,,
32,Mg,2.8,Ca,91.5,,,,,Cl,5.7,,,,,,,,147.2,Impregnation,1023,0.13,0.01,9.3,1.0,0.16,45.0,8.0,,40.0,47.0,87.1,7.0,,,,,
33,Li,50.0,Be,50.0,,,,,,,,,,,,,,54.3,Impregnation,1033,0.76,0.25,3.0,1.0,0.01,73.0,24.2,,,,63.0,15.2,,,,,
34,Pb,4.3,Mg,95.7,,,,,,,,,,,,,,96.6,n.a.,1073,0.14,0.02,8.9,1.0,0.16,97.0,13.0,29.0,16.0,54.0,70.0,9.1,,,,,
35,Pb,.9,Mg,99.1,,,,,,,,,,,,,,119.1,Precipitation,1073,0.14,0.02,8.9,1.0,0.16,98.0,13.0,,,,71.0,9.2,,,,,
36,Li,20.0,,,,,,,,,,,,Al,80.0,,,104.7,Impregnation,1064,0.68,0.07,9.9,1.0,0.22,100.0,13.0,,,,76.0,9.9,,,,,
,Li,24.7,,,,,,,,,,,,Al,75.3,,,91.4,Precipitation,1076,0.50,0.11,4.8,1.0,0.22,100.0,23.0,,,,54.0,12.4,,,,,
,Pb,16.1,,,,,,,,,,,,Al,83.9,,,107.4,Impregnation,986,0.50,0.10,4.8,1.0,0.22,100.0,19.0,,,,48.0,9.1,,,,,
,Na,23.5,Pb,8.0,,,,,,,,,,Al,68.5,,,83.6,Precipitation,1095,0.50,0.10,4.8,1.0,0.22,100.0,20.0,,,,52.0,10.4,,,,,
,Na,7.1,,,,,,,,,,,,Al,92.9,,,126.2,Impregnation,1102,0.52,0.10,5.1,1.0,0.22,,15.0,,,,19.0,2.9,,,,,
,Ca,33.3,,,,,,,,,,,,Al,66.7,,,166.7,Impregnation,1112,0.68,0.07,9.9,1.0,0.22,,8.0,,,,31.0,2.5,,,,,
,Mg,100.0,,,,,,,,,,,,,,,,50.0,n.a.,1139,0.67,0.07,10.1,1.0,0.22,,8.0,,,,30.0,2.4,,,,,
,Cu,50.0,Mg,50.0,,,,,,,,,,,,,,100.0,Impregnation,1113,0.70,0.06,11.7,1.0,0.22,,6.0,,,,9.0,0.5,,,,,
,Si,50.0,,,,,,,C,50.0,,,,,,,,100.0,n.a.,1115,0.64,0.08,8.5,1.0,0.22,,7.0,,,,30.0,2.1,,,,,
,Bi,50.0,Sn,50.0,,,,,,,,,,,,,,83.3,n.a.,1054,0.50,0.10,5.0,1.0,0.22,,13.0,,,,25.0,3.3,,,,,
,Bi,33.3,,,,,,,,,,,,Al,66.7,,,79.1,Impregnation,1022,0.50,0.10,5.0,1.0,0.22,,12.0,,,,8.0,1.0,,,,,
